관측소 번호,관측소 명,위도,경도
BCH001,해운대해수욕장,35.158,129.159
BCH002,광안리해수욕장,35.153,129.118
BCH003,몽산포해수욕장,36.669,126.286
BCH004,망상해수욕장,37.593,129.09
BCH005,낙산해수욕장,38.115,128.635
BCH006,진하해수욕장,35.381,129.345
BCH007,하조대해수욕장,38.023,128.725
BCH008,일광해수욕장,35.26,129.233
BCH009,삼척해수욕장,37.467,129.169
BCH010,송정해수욕장,35.178,129.199
BCH011,안면해수욕장,36.549,126.328
BCH012,송도해수욕장,35.075,129.016
BCH013,다대포해수욕장,35.046,128.965
BCH014,대천해수욕장,36.31,126.513
BCH015,꽃지해수욕장,36.497,126.336
BCH016,백사장해수욕장,36.576,126.314
BCH017,중문해수욕장,33.245,126.411
BCH018,표선해수욕장,33.327,126.837
BCH019,신양섭지코지해수욕장,33.435,126.92
BCH020,협재해수욕장,33.394,126.239
BCH021,곽지과물해수욕장,33.451,126.304
BCH022,이호테우해수욕장,33.497,126.451
BCH023,삼양검은모래해수욕장,33.525,126.586
BCH024,함덕서우봉해수욕장,33.543,126.669
BCH025,김녕해수욕장,33.557,126.759
BCH026,월정리해수욕장,33.555,126.796
BCH027,하고수동해수욕장,33.514,126.958
BCH028,서빈백사해수욕장,33.5,126.946
BCH029,하도해수욕장,33.513,126.899
BCH030,세화해수욕장,33.525,126.861
BCH031,경포대해수욕장,37.803,128.91
BCH032,을왕리해수욕장,37.446,126.372
BCH033,만리포해수욕장,36.784,126.14
BCH034,달산포해수욕장,36.657,126.294
BCH035,무창포해수욕장,36.245,126.536
BCH036,춘장대해수욕장,36.163,126.524
BCH038,백바위해수욕장,35.242,126.306
BCH040,만성리검은모래해수욕장,34.778,127.745
BCH041,상주은모래비치해수욕장,34.72,127.988
BCH042,학동몽돌해수욕장,34.774,128.641
BCH043,관성솔밭해변,35.659,129.451
BCH044,영일대해수욕장,36.055,129.378
BCH045,월포해수욕장,36.201,129.371
BCH046,화진해수욕장,36.251,129.373
BCH047,장사해수욕장,36.281,129.376
BCH048,고래불해변,36.598,129.41
BCH049,맹방해수욕장,37.39,129.232
BCH050,정동진해수욕장,37.691,129.035
BCH051,주문진해수욕장,37.911,128.818
BCH052,속초해수욕장,38.19,128.602
BCH053,학암포해수욕장,36.898,126.213
BCH054,신두리해수욕장,36.84,126.189
BCH055,천리포해수욕장,36.803,126.15
BCH056,연포해수욕장,36.693,126.21
BCH057,삼봉해수욕장,36.57,126.315
