,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,지자체,해수욕장명,백사장면적(m2),camp_num,beach_code,latitude,longitude,obs_wtemp,obs_wave,obs_air,wtemp,wave,atemp,wind,toilet,shower
0,0,0,0,강원도,강문," 16,200 ",1,BCH126,37.794,128.918,TW_0089,TW_0094,TW_0094,16.38,0.41,15.14,3.5,2,1
1,1,1,1,강원도,경포대," 126,000 ",0,BCH031,37.803,128.91,TW_0089,TW_0094,TW_0094,16.38,0.41,15.14,3.5,4,3
2,2,2,2,강원도,금진," 37,400 ",1,BCH138,37.639,129.044,TW_0094,TW_0094,TW_0094,16.63,0.41,15.14,3.5,3,1
3,3,3,3, 강원도 , 남항진 ," 16,450 ",0,BCH134,37.764,128.954,TW_0089,TW_0094,TW_0094,16.38,0.41,15.14,3.5,2,1
4,4,4,4, 강원도 , 도직 ," 18,480 ",0,BCH139,37.602,129.076,TW_0094,TW_0094,TW_0094,16.63,0.41,15.14,3.5,1,-
5,5,5,5, 강원도 , 등명 ," 26,460 ",0,BCH137,37.704,129.016,TW_0094,TW_0094,TW_0094,0.0,0.0,0.0,0.0,2,1
6,6,6,6,강원도,사근진," 23,240 ",0,BCH125,37.813,128.897,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,2,1
7,7,7,7,강원도,사천," 12,150 ",1,BCH128,37.843,128.873,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,2,1
8,8,8,8,강원도,사천진," 38,760 ",0,BCH128,37.843,128.873,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,1,1
9,9,9,9,강원도,송정," 12,420 ",2,BCH010,35.178,129.199,TW_0090,TW_0090,TW_0090,0.0,0.0,0.0,0.0,1,1
10,10,10,10,강원도,순긋," 14,400 ",0,BCH133,37.817,128.893,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,1,1
11,11,11,11,강원도,안목," 16,800 ",1,BCH127,37.772,128.948,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,2,2
12,12,12,12, 강원도 , 안인 ," 4,500 ",0,BCH136,37.734,128.99,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,1,1
13,13,13,13,강원도,연곡," 32,250 ",0,BCH131,37.859,128.853,TW_0089,TW_0091,TW_0091,0.0,0.0,0.0,0.0,3,2
14,14,14,14, 강원도 , 염전 ," 20,790 ",1,BCH135,37.734,128.99,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,1,1
15,15,15,15,강원도,영진," 17,100 ",0,BCH129,37.869,128.845,TW_0089,TW_0091,TW_0091,0.0,0.0,0.0,0.0,3,2
16,16,16,16,강원도,옥계," 74,200 ",3,BCH140,37.627,129.049,TW_0094,TW_0094,TW_0094,0.0,0.0,0.0,0.0,5,2
17,17,17,17,강원도,정동진," 83,000 ",0,BCH050,37.691,129.035,TW_0094,TW_0094,TW_0094,0.0,0.0,0.0,0.0,3,2
18,18,18,18,강원도,주문진해변," 80,771 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,6,3
19,19,19,19,강원도,하평," 12,240 ",0,BCH130,37.843,128.873,TW_0089,TW_0094,TW_0094,0.0,0.0,0.0,0.0,2,1
20,20,20,20,강원도,가진진," 23,805 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,1,1
21,21,21,21,강원도,거진11리," 17,834 ",1,BCH090,38.444,128.455,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,2,1
22,22,22,22,강원도,거진1리," 5,225 ",0,BCH089,38.447,128.465,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,1,1
23,23,23,23,강원도,공현진1리," 36,000 ",1,BCH093,38.358,128.508,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,0,0
24,24,24,24,강원도,공현진2리," 17,820 ",1,BCH094,38.35,128.511,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,0,0
25,25,25,25,강원도,교암리," 22,815 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,1,1
26,26,26,26,강원도,대진1리," 11,565 ",0,BCH086,38.504,128.424,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,1,1
27,27,27,27,강원도,대진5리," 1,920 ",0,BCH087,38.496,128.429,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,1,1
28,28,28,28,강원도,마차진," 6,138 ",0,BCH085,38.51,128.419,TW_0093,TW_0093,TW_0093,0.0,0.0,0.0,0.0,1,1
29,29,29,29,강원도,명파리," 6,028 ",1,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,1,1
30,30,30,30,강원도,문암진2리," 18,724 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,-,-
31,31,31,31,강원도,문암캠핑장," 28,965 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
32,32,32,32,강원도,반암리," 43,800 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,1,1
