지자체,관리청,해수욕장명,길이(m),너비(m),백사장면적(m2)
강원도,강릉시,강문, 360 , 45 ," 16,200 "
강원도,강릉시,경포대," 1,800 ", 70 ," 126,000 "
강원도,강릉시,금진, 850 , 44 ," 37,400 "
 강원도 , 강릉시 , 남항진 , 350 , 47 ," 16,450 "
 강원도 , 강릉시 , 도직 , 330 , 56 ," 18,480 "
 강원도 , 강릉시 , 등명 , 490 , 54 ," 26,460 "
강원도,강릉시,사근진, 830 , 28 ," 23,240 "
강원도,강릉시,사천, 270 , 45 ," 12,150 "
강원도,강릉시,사천진, 760 , 51 ," 38,760 "
강원도,강릉시,송정, 270 , 46 ," 12,420 "
강원도,강릉시,순긋, 400 , 36 ," 14,400 "
강원도,강릉시,안목, 300 , 56 ," 16,800 "
 강원도 , 강릉시 , 안인 , 150 , 30 ," 4,500 "
강원도,강릉시,연곡, 750 , 43 ," 32,250 "
 강원도 , 강릉시 , 염전 , 330 , 63 ," 20,790 "
강원도,강릉시,영진, 450 , 38 ," 17,100 "
강원도,강릉시,옥계, 530 , 140 ," 74,200 "
강원도,강릉시,정동진," 1,660 ", 50 ," 83,000 "
강원도,강릉시,주문진해변," 1,369 ", 59 ," 80,771 "
강원도,강릉시,하평, 340 , 36 ," 12,240 "
강원도,고성군,가진진, 345 , 69 ," 23,805 "
강원도,고성군,거진11리, 830 , 22 ," 17,834 "
강원도,고성군,거진1리, 245 , 21 ," 5,225 "
강원도,고성군,공현진1리, 300 , 120 ," 36,000 "
강원도,고성군,공현진2리, 405 , 44 ," 17,820 "
강원도,고성군,교암리, 507 , 45 ," 22,815 "
강원도,고성군,대진1리, 416 , 28 ," 11,565 "
강원도,고성군,대진5리, 109 , 18 ," 1,920 "
강원도,고성군,마차진, 246 , 25 ," 6,138 "
강원도,고성군,명파리, 196 , 31 ," 6,028 "
강원도,고성군,문암진2리, 302 , 62 ," 18,724 "
강원도,고성군,문암캠핑장, 421 , 69 ," 28,965 "
강원도,고성군,반암리, 438 , 100 ," 43,800 "
강원도,고성군,백도, 450 , 68 ," 30,600 "
강원도,고성군,봉수대, 598 , 17 ," 10,166 "
강원도,고성군,봉포리, 465 , 77 ," 35,805 "
강원도,고성군,삼포, 497 , 48 ," 23,856 "
강원도,고성군,삼포2리, 540 , 64 ," 34,560 "
강원도,고성군,송지호, 165 , 88 ," 14,520 "
강원도,고성군,송지호오토캠핑장, 296 , 30 ," 8,880 "
강원도,고성군,아야진리, 315 , 74 ," 23,310 "
강원도,고성군,자작도, 380 , 55 ," 20,900 "
강원도,고성군,천진리, 292 , 34 ," 9,928 "
강원도,고성군,청간리, 795 , 26 ," 20,988 "
강원도,고성군,초도리, 363 , 58 ," 21,054 "
강원도,고성군,켄싱턴리조트, 654 , 158 ," 103,267 "
강원도,고성군,화진포, 641 , 141 ," 90,289 "
강원도,고성군,화진포 콘도, 200 , 60 ," 12,000 "
강원도,동해시,노봉, 390 , 100 ," 39,000 "
 강원도 , 동해시 , 대진 , 230 , 65 ," 14,950 "
강원도,동해시,망상," 1,160 ", 125 ," 145,000 "
강원도,동해시,망상리조트, 720 , 40 ," 28,800 "
강원도,동해시,어달, 300 , 20 ," 6,000 "
강원도,동해시,추암, 360 , 50 ," 18,000 "
 강원도 , 삼척시 , 궁촌 , 400 , 40 ," 16,000 "
 강원도 , 삼척시 , 덕산 , 500 , 50 ," 25,000 "
강원도,삼척시,맹방, 740 , 80 ," 59,200 "
강원도,삼척시,문암, 300 , 30 ," 9,000 "
 강원도 , 삼척시 , 부남 , 200 , 30 ," 6,000 "
강원도,삼척시,삼척, 880 , 93 ," 81,840 "
 강원도 , 삼척시 , 상맹방 , 200 , 40 ," 8,000 "
강원도,삼척시,오분(간이), 200 , 20 ," 4,000 "
강원도,삼척시,용화, 500 , 50 ," 25,000 "
강원도,삼척시,원평, 300 , 30 ," 9,000 "
 강원도 , 삼척시 , 임원 , 150 , 15 ," 2,250 "
강원도,삼척시,작은후진, 150 , 20 ," 3,000 "
