"해수욕장별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"해수욕장별(1)",총면적 (㎡),백사장,백사장,시설물 (개),시설물 (개),시설물 (개),시설물 (개),시설물 (개),시설물 (개),이용객 (명)
"해수욕장별(1)",소계,면적 (㎡),길이 (m),탈의장,샤워장,화장실,뜀대,망루대,공동수도,소계
"합계",529965,529965,10361,38,39,47,-,20,47,598097
"광암",25653,25653,220,1,2,2,-,2,2,39380
"통영공설",2990,2990,130,1,1,1,-,1,1,14002
"비진도",6340,6340,317,1,1,1,-,2,-,10297
"대항",1540,1540,220,1,1,1,-,2,1,3583
"남일대",13500,13500,200,1,1,1,-,1,3,42266
"학동몽돌",37873,37873,1022,2,2,3,-,2,2,48687
"명사",22164,22164,301,1,1,1,-,1,2,27080
"구조라",35246,35246,851,2,2,2,-,1,2,45740
"덕포",11504,11504,446,1,1,2,-,-,1,13125
"홍남",10432,10432,332,2,2,2,-,1,2,29579
"와현",27151,27151,382,2,2,3,-,1,3,35530
"농소",30458,30458,806,2,2,2,-,1,2,23765
"황포",7135,7135,213,1,1,1,-,1,1,4636
"물안",6644,6644,164,1,1,1,-,-,1,10567
"덕원",14021,14021,277,1,1,1,-,-,-,4486
"여차몽돌",7423,7423,163,1,1,1,-,-,1,9210
"함목",9043,9043,190,1,1,1,-,-,1,3258
"죽림",9943,9943,125,-,-,-,-,-,-,-
"옥계",2636,2636,115,1,1,1,-,-,-,10665
"사곡",7646,7646,221,1,1,1,-,-,-,3509
"구영",4828,4828,178,1,1,1,-,-,1,2628
"망치",13245,13245,493,1,1,1,-,-,1,11740
"상주은모래",160000,160000,770,4,4,6,-,2,7,122133
"송정솔바람",22150,22150,605,3,3,4,-,1,4,57746
"사촌",5900,5900,450,2,2,2,-,-,2,10410
"두곡 월포",27000,27000,850,2,2,2,-,1,5,5130
"설리",7500,7500,320,1,1,3,-,-,2,8945
