STAR,DATE,REVIEW
  4 ,1년 전,"(참조, 대한민국구석구석)

망상해변은 묵호항에서 북쪽으로 3km쯤 떨어져 있는 국민관광지로서 부근의 옥계, 경포 등과 함께 동해안의 유명 관광지 이다. 넓은 백사장과 울창한 송림(수령 20~30년), 청정한 해수, 얕은 수심(경사도 2~4도, 평균 물 깊이 0.5~1.5m) 등 동해안 해수욕장 중 가장 넓고 쾌적한 환경을 갖추었으며, 주차장, 야영장, 샤워장, 공중화장실 등과 각종 편의시설이 잘 갖춰져 있어 관광객들이 이용하기에 편리하다.

해수욕장 바로 위에는 오토캠핑장이 있어 가족단위 관광객들에게 인기가 있다. 인근 천곡 자연동굴, 무릉계곡과 추암 촛대바위를 비롯하여 남쪽으로 간이 해수욕장(노봉, 대진, 어달, 한섬, 감추, 추암 해수욕장)이 즐비하다. 인근의 묵호항과 더불어 강릉~삼척을 잇는 해안 관광지 중 하나이며 오징어,소라, 해삼, 멍게, 광어 등의 풍부한 해산물로 풍요로움과 넉넉함이 묻어난다."
  4 ,4달 전,"파도가 쎄서  어른들은 재밌는데,
아이들이 놀기엔 너무 위험한곳같아요.

물은 깨끗해요.
해초가 간혹떠있어요.
물놀이 하다보면 바지락이 한두어개 잡혀요.

안전요원분들이 곳곳에 계세요.

기차도 다녀요."
  4 ,2년 전,"날씨 가 좋고 애들이랑 즐거운 시간 보내고 재미있었어요 근데 수영 하고 싶으면 아직 좋은 생각이 아닌 것 같아요 물이 너무 차가워요 ㅎㅎ
The weather was good and it was fun and with the kids we had a great time, but if you want to swim, it's not a good idea yet ^^"
  4 ,2년 전,"바다가 보이고 파도소리가 듣기 좋은 아름다운 곳
가까운 묵호항에서 회떠다가 먹어도 좋고 데크와 편의시설이 잘 관리되어 있고 직원분도 엄청 친절하네요~
뒤에 고속도로가 있어서 차소리가 나는건 한가지 흠"
  5 ,1년 전,여름이다^^. 역시 7번 국도변 동해 바다~^^♡♡♡
  5 ,2년 전,해변주변 숙박업소도많고 밤산책하기에도 좋았어요~
  5 ,2년 전,시원한 모래사장과 파도의 조화가 환상입니다
  5 ,4년 전,"동해 해수욕장중 쵝오!
여름 시즌에 이벤트 많고 바가지없고 상업시설이 많지 않으나 그만큼 강원도 특유에 환경을 경험할수있어 좋음
가족단위 분위기 좋음"
  5 ,1년 전,"공간이 넓고, 공기가 맑아서 좋았어요 ~"
  5 ,3년 전,너무나 깨끗하고 넓은 백사장과 화장실 샤워실이 갖춰져 있고 캠핑하기도 아주 좋았다.
